customer_id,churn_contrib_usage_deterioration,churn_contrib_sentiment_support,churn_contrib_payment_stress,churn_contrib_commercial_contraction,churn_contrib_discount_pressure,churn_contrib_renewal_exposure,churn_contrib_history_tenure,revenue_quality_risk_contrib_pricing_realization,revenue_quality_risk_contrib_discount_discipline,revenue_quality_risk_contrib_retention_momentum,revenue_quality_risk_contrib_account_health_quality,revenue_quality_risk_contrib_stability_governance,discount_contrib_discount_level,discount_contrib_discount_persistence,discount_contrib_discounted_expansion_pressure,discount_contrib_price_realization_erosion,discount_contrib_policy_signal,expansion_risk_contrib_healthy_expansion_mix,expansion_risk_contrib_fragility_control,expansion_risk_contrib_expansion_discount_discipline,expansion_risk_contrib_expansion_payment_quality,expansion_risk_contrib_post_expansion_durability,governance_contrib_churn_risk,governance_contrib_revenue_quality_risk,governance_contrib_discount_dependency,governance_contrib_expansion_fragility,governance_contrib_exposure_concentration,governance_contrib_renewal_urgency
CUST000001,0.0,0.005625,0.08761714285714287,0.0,0.0646,0.0,0.0,0.27253537208569906,0.10600000000000001,0.06858,0.03288833333333332,0.015518109800612134,0.21200000000000002,0.25,0.15,0.06537230232244248,0.05,0.35,0.2,0.0946681229183565,0.0040000000000000036,0.0,0.050508800000000006,0.0891936,0.1091055,0.064867,0.1319312730069369,0.0
CUST000002,0.00240625,0.007012090909090908,0.07238285714285714,0.0,0.08188000000000001,0.0,0.0,0.3,0.16360000000000002,0.09,0.10422166666666666,0.015407128514056224,0.32720000000000005,0.25,0.0,0.09621342512908782,0.05,0.35,0.0,0.0,0.0,0.0,0.052377599999999996,0.12118140000000001,0.10851149999999998,0.050785666666666666,0.09558594342767535,0.0
CUST000003,0.0,0.0,0.12190285714285715,0.0,0.07511200000000001,0.062286907360681924,0.0,0.3,0.14104000000000003,0.09,0.035555,0.03414345368034096,0.28208000000000005,0.25,0.0,0.08039860516542396,0.05,0.35,0.0,0.0,0.0,0.0,0.082976,0.10813319999999998,0.099372,0.045000000000000005,0.09458208723562446,0.02864345368034096
CUST000004,0.0,0.014566363636363636,0.08571428571428572,0.0,0.002472000000000001,0.0,0.0,0.18032445423593027,0.032240000000000005,0.09,0.12966000000000003,0.007625000000000004,0.06448000000000001,0.0,0.0,0.02585333752968444,0.0,0.35,0.0,0.0,0.0,0.0,0.032880000000000006,0.07917300000000001,0.013549499999999999,0.05271000000000001,0.09539708207531815,0.0
CUST000005,0.0,0.030726818181818178,0.12571428571428572,0.0,0.0,0.0,0.01,0.16953007518796995,0.0236,0.09,0.14657444444444442,0.009124999999999994,0.0472,0.0,0.0,0.021227175080558585,0.0,0.35,0.0,0.0,0.0,0.0,0.0532608,0.0789894,0.010264500000000001,0.05172,0.09632653828104454,0.0
CUST000006,0.0,0.0,0.06476000000000001,0.0,0.0,0.0,0.0,0.12634183620300357,0.0,0.09,0.01888833333333333,0.00724999999999999,0.0,0.0,0.0,0.002717929801287282,0.0,0.35,0.0,0.0,0.0,0.0,0.0207232,0.04364640000000001,0.000408,0.045000000000000005,0.11784371499537977,0.0
CUST000007,0.020781249999999998,0.0,0.08761714285714287,0.0,0.0014880000000000026,0.0,0.034999999999999996,0.3,0.02896000000000001,0.09,0.09253833333333333,0.05768181818181818,0.05792000000000002,0.0,0.0,0.15,0.0,0.35,0.0,0.0,0.0,0.0,0.046364800000000005,0.135,0.031188,0.05057233333333333,0.0,0.0
CUST000008,0.007546874999999999,0.0,0.022857142857142857,0.0,0.004967999999999999,0.05675,0.0,0.1872847391321703,0.04056,0.09,0.006666666666666665,0.024375000000000004,0.08112,0.0,0.0,0.02883631677093016,0.0,0.35,0.0,0.0,0.0,0.0,0.0294784,0.0628002,0.016493999999999998,0.045000000000000005,0.12409842882264054,0.025875
CUST000009,0.0,0.0,0.08571428571428572,0.0,0.010824,0.0,0.0,0.20845401174168304,0.06008,0.09,0.034599999999999985,0.008185385798154877,0.12016,0.0,0.0,0.037908862175007045,0.05,0.35,0.0,0.0,0.0,0.0,0.0308928,0.07223759999999999,0.031210499999999995,0.0462,0.09152731658286807,0.0
CUST000010,0.0440142857142857,0.06555245454545454,0.10475999999999999,0.0,0.047928000000000005,0.0,0.034999999999999996,0.3,0.18376000000000003,0.09,0.18055500000000002,0.05768181818181818,0.36752000000000007,0.0,0.0,0.15,0.05,0.35,0.0,0.0,0.0,0.0,0.09512000000000001,0.14616,0.085128,0.05500000000000001,0.0,0.0
CUST000011,0.02603125,0.0,0.06476000000000001,0.0,0.0,0.0,0.0,0.1435906889012732,0.0048799999999999955,0.06858,0.01888833333333333,0.00724999999999999,0.009759999999999991,0.0,0.0,0.010110295243402822,0.0,0.35,0.2,0.007984616232569231,0.052000000000000005,0.0,0.029052800000000004,0.0437742,0.0029805,0.060998,0.08756412204480735,0.0
CUST000012,0.0875,0.0,0.10285714285714286,0.0,0.011016,0.0,0.034999999999999996,0.3,0.060719999999999996,0.09,0.03860533333333336,0.05768181818181818,0.12143999999999999,0.0,0.0,0.15,0.0,0.35,0.0,0.0,0.0,0.0,0.0756384,0.135,0.040715999999999995,0.046075666666666674,0.0,0.0
