cohort_month,segment,region,month_number,active_customers,retained_revenue,gross_retention_rate,net_retention_rate
2023-03-01,Enterprise,APAC,0,43,397963.53,1.0,1.0
2023-03-01,Enterprise,APAC,1,43,397444.54,0.9986958855249876,0.9986958855249876
2023-03-01,Enterprise,APAC,2,43,392550.97000000003,0.9863993567450766,0.9863993567450766
2023-03-01,Enterprise,APAC,3,43,393688.53,0.9863993567450766,0.9892578096289376
2023-03-01,Enterprise,APAC,4,43,394842.17,0.9863993567450766,0.9921566682253521
2023-03-01,Enterprise,APAC,5,42,395783.0,0.9771820045922297,0.9945207793286988
2023-03-01,Enterprise,APAC,6,42,396607.29,0.9755983418882629,0.9965920495277544
2023-03-01,Enterprise,APAC,7,42,401131.98,0.9741870065329855,1.007961659200279
2023-03-01,Enterprise,APAC,8,42,403679.83,0.9741870065329855,1.0143638790217786
2023-03-01,Enterprise,APAC,9,42,404340.41000000003,0.9741870065329855,1.0160237798674667
2023-03-01,Enterprise,APAC,10,41,402805.44,0.9677322693363384,1.0121667178899534
2023-03-01,Enterprise,APAC,11,41,405072.38,0.9677322693363384,1.0178630690103687
2023-03-01,Enterprise,APAC,12,41,413827.0,0.9687447993035944,1.0398616174703244
2023-03-01,Enterprise,APAC,13,41,413461.35,0.966398981333792,1.0389428146845514
2023-03-01,Enterprise,APAC,14,41,415064.93,0.966398981333792,1.0429722793945464
2023-03-01,Enterprise,APAC,15,40,423776.52,0.948546139391215,1.064862702368732
2023-03-01,Enterprise,APAC,16,40,427706.43,0.9493715667865343,1.0747377529795255
2023-03-01,Enterprise,APAC,17,40,435431.04,0.9493715667865343,1.0941480994502184
2023-03-01,Enterprise,APAC,18,40,435943.89,0.9493715667865343,1.0954367853757856
2023-03-01,Enterprise,APAC,19,40,438840.85,0.9495985473844801,1.1027162463856925
2023-03-01,Enterprise,APAC,20,40,447751.54,0.9495985473844801,1.1251069664599667
2023-03-01,Enterprise,APAC,21,40,459532.54,0.9515327195936772,1.1547101816088523
2023-03-01,Enterprise,APAC,22,40,459532.54,0.9515327195936772,1.1547101816088523
2023-03-01,Enterprise,APAC,23,40,460536.51,0.9515327195936772,1.1572329504665917
2023-03-01,Enterprise,APAC,24,40,468207.26,0.9515327195936772,1.1765079579025746
2023-03-01,Enterprise,APAC,25,40,469998.0,0.9495632928977185,1.181007716963411
2023-03-01,Enterprise,APAC,26,40,469169.73,0.9474820217822472,1.1789264458479398
2023-03-01,Enterprise,APAC,27,40,470810.52999999997,0.9474820217822472,1.1830494367159723
2023-03-01,Enterprise,APAC,28,40,472795.75,0.9541534371252561,1.1880378837729175
2023-03-01,Enterprise,APAC,29,40,474898.75,0.9541534371252561,1.1933222875975593
2023-03-01,Enterprise,APAC,30,40,485876.94,0.9493569172029406,1.220908207342517
2023-03-01,Enterprise,APAC,31,40,489612.12,0.9467512261739159,1.2302939417589345
2023-03-01,Enterprise,APAC,32,40,481359.28,0.9459565302378335,1.2095562626052694
2023-03-01,Enterprise,APAC,33,40,487629.73000000004,0.9510569724818754,1.2253126059063755
2023-03-01,Enterprise,APAC,34,40,493565.82,0.9510569724818754,1.2402287717168454
2023-03-01,Enterprise,APAC,35,39,483142.15,0.9253583110995119,1.214036245984651
2023-03-01,Enterprise,EMEA,0,65,546224.28,1.0,1.0
2023-03-01,Enterprise,EMEA,1,65,548366.18,1.0,1.0039212830304798
2023-03-01,Enterprise,EMEA,2,63,539695.58,0.9803053976289738,0.9880475836775324
2023-03-01,Enterprise,EMEA,3,63,541120.54,0.9803053976289738,0.9906563289350667
2023-03-01,Enterprise,EMEA,4,63,541185.7,0.9777418169693957,0.9907756205930647
2023-03-01,Enterprise,EMEA,5,63,541395.11,0.9777418169693957,0.9911589979119931
2023-03-01,Enterprise,EMEA,6,63,550348.89,0.9777418169693957,1.007551128997781
2023-03-01,Enterprise,EMEA,7,63,548686.87,0.9746990741605261,1.0045083861889113
2023-03-01,Enterprise,EMEA,8,63,552704.95,0.9746990741605261,1.011864485408814
2023-03-01,Enterprise,EMEA,9,63,555081.74,0.9746990741605261,1.016215793263529
2023-03-01,Enterprise,EMEA,10,63,553768.82,0.9745849452170086,1.013812165215358
2023-03-01,Enterprise,EMEA,11,63,565274.45,0.9771485258765867,1.034876095218616
2023-03-01,Enterprise,EMEA,12,62,563679.05,0.9657083716600806,1.0319553169624756
2023-03-01,Enterprise,EMEA,13,62,568716.72,0.9657083716600806,1.0411780303870783
2023-03-01,Enterprise,EMEA,14,61,562367.18,0.9507218536678742,1.0295536112016113
